0.11 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
0.27 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
0.47 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
0.78 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
1.18 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
1.82 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
2.61 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
3.76 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
4.99 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
7.16 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
11.93 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
20.11 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
32.75 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
49.49 1:-2.3 2:0.568 3:4.78 4:3.99 5:3.17 
0.04 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
0.17 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
0.37 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
0.66 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
1.06 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
1.59 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
2.33 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
3.29 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
4.61 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
7.11 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
11.99 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
21.09 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
35.01 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
51.80 1:-2.3 2:0.569 3:4.78 4:3.04 5:3.64 
0.09 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
0.29 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
0.56 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
0.86 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
1.31 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
1.99 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
2.94 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
4.21 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
5.54 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
8.25 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
13.08 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
21.40 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
33.14 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
50.14 1:-2.3 2:0.565 3:4.78 4:5.35 5:2.76 
0.20 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
0.35 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
0.65 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
0.93 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
1.37 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
1.97 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
2.83 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
3.99 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
5.19 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
8.03 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
12.86 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
21.51 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
33.97 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
50.36 1:-2.3 2:0.564 3:5.10 4:3.95 5:3.53 
0.20 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
0.35 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
0.65 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
0.93 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
1.37 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
1.97 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
2.83 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
3.99 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
5.19 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
8.03 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
12.86 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
21.51 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
33.97 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
50.36 1:-2.4 2:0.574 3:4.36 4:3.96 5:2.76 
0.12 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
0.26 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
0.43 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
0.69 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
1.09 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
1.67 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
2.46 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
3.43 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
4.62 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
6.86 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
11.56 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
20.63 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
34.50 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
54.23 1:-2.4 2:0.568 3:4.34 4:2.98 5:3.15 
0.28 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
0.44 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
0.70 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
1.07 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
1.57 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
2.23 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
3.09 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
4.09 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
5.82 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
8.28 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
12.80 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
20.41 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
32.34 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
47.29 1:-2.3 2:0.562 3:5.14 4:4.95 5:3.17 
0.20 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
0.38 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
0.64 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
0.97 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
1.36 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
1.98 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
2.91 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
4.35 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
5.79 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
8.04 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
12.15 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
19.18 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
30.09 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
44.38 1:-2.4 2:0.585 3:4.78 4:3.84 5:3.32 
0.15 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
0.32 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
0.55 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
0.86 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
1.24 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
1.76 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
2.49 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
3.45 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
4.83 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
7.37 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
12.76 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
21.99 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
35.64 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
53.07 1:-2.2 2:0.546 3:4.78 4:4.13 5:3.07 
0.11 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.24 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.49 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.79 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
1.28 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
1.96 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
2.88 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
4.14 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
5.96 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
9.07 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
14.93 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
24.13 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
38.12 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
55.44 1:0.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.07 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.18 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.40 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.70 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
1.14 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
1.83 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
2.77 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
4.12 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
5.41 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
7.87 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
12.71 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
21.02 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
34.58 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
51.77 1:-5.0 2:0.565 3:4.77 4:3.99 5:3.15 
0.08 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.26 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.50 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.83 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
1.28 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
1.90 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
2.68 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
3.76 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
5.57 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
8.76 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
14.24 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
23.05 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
35.46 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
51.99 1:0.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.08 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.24 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.45 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.77 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
1.19 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
1.76 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
2.59 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
3.85 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
5.27 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
7.74 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
12.40 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
20.91 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
33.23 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
49.14 1:-5.0 2:0.565 3:5.10 4:3.94 5:3.51 
0.08 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
0.25 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
0.46 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
0.75 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
1.11 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
1.57 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
2.17 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
2.98 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
4.42 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
7.84 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
14.11 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
24.14 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
37.95 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
55.17 1:-2.3 2:0.530 3:5.11 4:3.69 5:3.51 
0.10 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
0.23 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
0.47 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
0.76 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
1.15 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
1.65 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
2.28 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
3.09 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
4.41 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
7.51 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
13.77 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
23.96 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
37.38 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
56.46 1:-2.3 2:0.530 3:4.76 4:3.68 5:3.16 
0.05 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
0.17 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
0.35 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
0.63 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
1.01 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
1.43 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
2.05 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
2.73 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
3.87 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
7.19 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
13.96 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
25.18 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
41.34 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
62.42 1:-2.3 2:0.530 3:4.34 4:2.81 5:3.15 
0.03 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
0.18 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
0.40 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
0.73 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
1.30 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
2.16 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
3.35 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
5.06 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
7.14 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
10.36 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
15.25 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
23.15 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
34.62 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
51.50 1:0.0 2:0.600 3:4.78 4:4.24 5:3.15 
0.06 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
0.15 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
0.34 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
0.63 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
1.13 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
1.85 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
2.84 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
4.34 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
6.20 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
8.62 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
12.49 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
20.41 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
32.46 1:-5.0 2:0.600 3:4.78 4:4.24 5:3.15 
